Transform ID	 Path ID	 Timestamp	 Measured X	 Measured Y	 Measured Z	Measured Rx	 Measured Ry	 Measured Rz	Reference X	 Reference Y	 Reference Z	Reference Rx	 Reference Ry	 Reference Rz	Linear Deviation
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-23.75	-91.2519	5.2118	-17.4168	-175.8888	-3.4809	-167.1824	-91.2203	5.4304	-17.3592	-175.8535	-3.3897	-167.3338	0.23
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-23.85	-99.843	4.2439	-8.3006	-175.8478	-3.4751	-167.248	-99.7809	4.4877	-8.2214	-175.8589	-3.4194	-167.3457	0.26
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-23.95	-108.1281	3.4866	0.7156	-175.9098	-3.3981	-167.3515	-108.1988	3.3664	0.6318	-175.8085	-3.3099	-167.345	0.16
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-24.05	-116.8782	2.0826	9.8094	-175.7007	-3.5442	-167.3862	-117.0488	1.885	9.6482	-175.6701	-3.3574	-167.1321	0.31
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-24.15	-125.4076	0.8411	18.4699	-175.6744	-3.2613	-167.1015	-125.2464	1.3779	18.6664	-175.8837	-3.3918	-167.4451	0.59
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-24.25	-134.2364	0.1753	27.7354	-175.8502	-3.6196	-167.2825	-134.0581	0.4793	27.9427	-175.9992	-3.6907	-167.5196	0.41
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-24.35	-141.4223	-0.814	35.4459	-175.835	-3.4648	-167.3999	-141.4375	-0.3321	35.4829	-175.9958	-3.6716	-167.5731	0.48
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-24.45	-147.083	-1.2772	41.1775	-175.8854	-3.6021	-167.2779	-147.0713	-0.9873	41.248	-175.9854	-3.6507	-167.5883	0.3
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-25.25	-151.3951	-2.2025	45.7609	-175.6628	-3.3624	-167.3024	-151.2733	-2.113	45.8855	-175.6272	-3.3635	-167.4096	0.2
Static.experiemt->EE.Origin	Path_3	2024-10-10-14-56-25.35	-151.3383	-2.1015	45.867	-175.7432	-3.3226	-167.4139	-151.5715	-2.201	45.939	-175.7381	-3.5208	-167.3324	0.26
